ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao
RECV3;9,47;-1,76;-5,86;-12,48;26,1;0,006;10,0;1,23;3,14;3,2;50,4;5.2;0,66;1416.0%;12.3%;55;OBSERVAR
PETR3;41,85;-1,27;-1,09;-9,1;32,0;0,057;24,8;0,91;2,45;43,1;30,5;5.1;1,21;919.0%;25.6%;45;OBSERVAR
SLCE3;12,8;-0,08;-1,61;-11,42;21,3;0,029;22,1;0,74;2,77;1,7;52,2;19.7;1,2;1008.0%;5.3%;40;OBSERVAR
PETR4;37,77;-1,25;-0,97;-8,37;31,1;0,093;25,5;0,57;2,14;38,2;30,2;4.6;1,09;1019.0%;25.6%;35;NEUTRO
COGN3;2,25;-2,6;-1,75;-4,66;36,3;0,012;13,7;0,94;3,79;3,5;110,1;6.6;0,33;821.0%;4.7%;35;NEUTRO
MGLU3;4,35;-2,25;-6,25;-18,54;32,2;0,068;25,0;0,52;6,52;7,9;163,1;24.2;0,3;58.0%;1.2%;30;NEUTRO
ITUB4;42,56;-0,42;0,4;11,53;65,4;0,241;82,0;0,7;2,06;40,1;14,5;10.3;2,24;209.0%;21.8%;25;NEUTRO
BBAS3;19,77;-1,05;-2,42;3,51;45,3;0,098;57,4;0,82;2,15;11,7;39,3;8.9;0,61;119.0%;9.2%;20;NEUTRO
SANB11;26,71;-0,89;-0,41;-0,26;44,5;0,072;38,6;0,56;1,96;10,9;39,2;13.1;0,79;658.0%;10.5%;20;NEUTRO
AGRO3;18,44;0,22;1,1;-1,13;48,6;0,052;53,8;0,7;1,6;3,2;23,4;-;0,9;409.0%;-0.7%;20;NEUTRO
LWSA3;4,04;-2,88;-1,7;10,08;56,4;0,03;72,0;0,54;3,98;23,2;18,9;-;0,95;612.0%;-8.6%;20;NEUTRO
MELI34;77,38;1,51;7,04;11,71;66,3;0,868;101,5;0,98;3,11;26,1;47,8;47.2;13,01;-;31.3%;15;EVITAR
VALE3;77,79;-1,33;-0,44;-0,36;41,7;-0,011;23,7;0,72;2,25;61,8;17,8;22.7;1,73;875.0%;6.8%;10;EVITAR
SMTO3;14,96;-2,24;-1,16;-11,84;39,9;0,09;37,0;0,39;3,58;17,5;43,0;5.9;0,66;140.0%;11.9%;10;EVITAR
PRIO3;53,57;1,15;0,79;-14,34;31,9;-0,034;30,6;0,54;2,9;56,7;36,2;16.2;1,62;-;9.7%;5;EVITAR
BBDC4;17,92;0,04;0,64;6,31;59,1;0,103;91,4;1,14;2,15;27,8;18,6;8.5;1,05;125.0%;13.4%;5;EVITAR
CSAN3;3,84;1,59;3,5;11,95;52,8;0,074;86,3;0,8;4,6;20,0;109,1;-;4,3;-;-29.9%;-15;EVITAR
