ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao
TRIS3;4,47;6,43;3,23;12,31;58,0;0,043;97,8;4,36;3,76;16,1;70,9;4.4;0,71;2433.0%;13.2%;15;EVITAR
CBAV3;10,81;0,28;0,46;1,03;60,4;0,003;95,3;0,61;0,58;296,2;0,4;56.9;1,52;41.0%;5.1%;15;EVITAR
INTB3;13,2;2,33;-0,38;1,38;47,3;-0,016;48,7;0,64;3,18;30,6;21,0;7.5;1,37;1087.0%;18.8%;15;EVITAR
ALUP11;34,02;2,93;2,97;5,42;63,6;0,186;114,3;1,34;2,01;22,0;8,4;8.2;1,21;247.0%;12.7%;15;EVITAR
COGN3;2,4;6,67;3,9;2,56;54,9;0,017;106,0;0,98;3,76;12,1;96,9;7.1;0,35;790.0%;4.7%;10;EVITAR
VAMO3;3,06;3,38;6,62;0,99;56,6;0,049;110,6;0,76;4,15;14,2;61,4;10.6;1,25;473.0%;12.1%;10;EVITAR
MOVI3;9,02;2,85;-5,05;-6,33;43,8;-0,014;33,6;1,08;4,72;68,8;66,0;8.6;1,0;1014.0%;12.9%;10;EVITAR
RAPT4;4,74;3,27;4,18;-3,27;52,3;0,033;74,9;1,48;3,82;13,4;78,9;-;0,53;88.0%;-2.5%;10;EVITAR
RDOR3;36,02;2,48;0,76;6,26;60,2;0,178;97,4;0,71;2,83;24,9;24,8;17.2;4,01;204.0%;19.2%;10;EVITAR
EMBJ3;84,6;0,88;-0,27;16,54;61,5;0,198;80,8;0,78;3,21;31,6;24,2;38.3;3,5;120.0%;8.8%;10;EVITAR
KLBN4;3,49;0,87;2,05;2,65;58,7;0,011;93,5;0,69;1,98;8,8;20,6;43.6;0,47;938.0%;5.5%;10;EVITAR
HYPE3;21,11;3,73;0,57;-0,56;53,0;0,067;80,9;1,35;2,75;7,5;27,9;8.1;0,95;498.0%;13.0%;10;EVITAR
YDUQ3;8,95;3,11;-1,32;2,52;51,7;0,053;74,4;0,71;4,35;14,0;70,8;20.8;0,78;1313.0%;3.8%;10;EVITAR
DXCO3;4,99;2,67;0,6;5,27;56,5;0,008;84,2;1,18;3,03;12,7;24,6;inf;0,65;102.0%;1.1%;10;EVITAR
BRSR6;14,49;2,11;4,24;-1,56;57,5;0,097;85,6;1,05;2,45;54,0;28,5;3.4;0,52;606.0%;15.6%;10;EVITAR
FRAS3;21,0;6,71;2,94;-7,89;51,6;-0,032;58,7;6,1;2,93;9,9;24,7;23.3;2,42;352.0%;11.2%;10;EVITAR
BPAC11;58,73;5,48;5,18;16,55;69,4;0,525;110,7;1,39;2,69;58,4;11,5;95.7;3,8;251.0%;24.8%;5;EVITAR
RAIL3;14,36;4,44;5,36;7,49;61,3;0,165;105,4;1,33;3,17;18,1;23,7;25.6;1,92;79.0%;7.3%;5;EVITAR
CSNA3;5,18;7,92;7,47;-14,38;48,0;0,061;57,8;0,98;5,09;15,4;118,5;-;0,53;-;-8.3%;5;EVITAR
MRVE3;5,01;1,01;-7,73;-3,28;40,4;0,029;34,5;1,4;4,98;4,4;110,2;-;0,54;-;-11.8%;5;EVITAR
PETR3;44,19;1,52;4,25;-4,33;50,9;0,401;89,7;0,95;2,46;51,1;23,6;5.4;1,28;882.0%;25.6%;5;EVITAR
PRIO3;55,45;-0,29;4,7;-9,6;43,4;0,566;56,7;0,71;2,93;62,2;31,6;16.8;1,68;-;9.7%;5;EVITAR
RCSL4;0,43;0,0;-4,44;-8,51;38,8;-0,005;26,9;1,42;10,72;84,9;544,8;-;-3,98;-;-;5;EVITAR
GMAT3;3,97;1,02;5,87;0,25;53,7;0,04;87,0;1,07;3,93;15,7;99,4;5.0;0,83;628.0%;16.0%;5;EVITAR
HAPV3;10,6;5,26;-0,28;-7,02;48,2;0,051;61,2;1,21;4,76;51,4;302,5;-;0,1;-;-0.9%;5;EVITAR
ALOS3;28,7;3,61;1,77;7,17;61,6;0,124;95,2;0,9;2,3;50,6;15,5;17.3;1,11;1265.0%;6.9%;5;EVITAR
TOTS3;29,91;1,08;-0,3;0,99;53,2;0,31;88,8;1,16;3,73;11,6;59,4;20.3;3,49;277.0%;16.9%;5;EVITAR
VIVT3;35,75;3,62;2,88;6,84;63,9;0,185;103,6;0,94;2,25;27,2;15,8;18.1;1,66;242.0%;9.2%;5;EVITAR
PCAR3;2,73;-1,09;3,8;76,13;71,0;0,064;82,9;0,72;5,92;95,0;68,5;-;0,64;-;-109.7%;5;EVITAR
ENGI11;52,12;4,03;7,31;9,96;71,3;0,574;121,9;1,41;2,35;33,1;13,7;37.8;1,01;628.0%;12.1%;5;EVITAR
IGTI11;26,58;4,44;3,02;8,27;62,1;0,201;104,5;1,41;2,52;31,4;15,2;163.1;1,61;265.0%;15.4%;5;EVITAR
AMER3;4,1;0,49;14,53;-10,87;46,6;0,053;51,4;1,26;6,31;21,7;115,1;1.6;0,19;-;4.7%;5;EVITAR
EGIE3;33,58;2,94;4,48;-4,63;51,9;-0,077;51,6;0,83;2,69;25,7;15,6;14.9;2,82;561.0%;20.2%;5;EVITAR
HBSA3;3,45;2,07;2,07;0,58;49,5;-0,025;36,9;0,87;4,28;18,6;27,2;345.0;2,34;-;1.0%;5;EVITAR
CSAN3;4,07;5,44;7,67;21,86;62,5;0,071;101,0;0,9;4,23;27,2;97,3;-;4,56;-;-29.9%;0;EVITAR
LREN3;14,62;3,32;-1,22;-3,42;52,5;-0,049;60,8;0,98;3,7;21,2;23,7;9.9;1,38;627.0%;14.5%;0;EVITAR
EQTL3;40,91;3,54;3,73;5,52;63,4;0,23;105,1;1,31;2,37;28,6;13,2;43.5;2,0;580.0%;6.9%;0;EVITAR
SLCE3;14,02;1,67;9,45;-1,61;53,2;0,211;88,1;1,01;2,73;11,4;38,9;21.6;1,31;936.0%;5.3%;0;EVITAR
SIMH3;8,18;4,6;2,76;-4,44;51,2;0,091;89,8;0,95;4,63;12,1;78,6;-;0,82;209.0%;0.6%;0;EVITAR
AZZA3;19,1;3,47;11,44;11,11;55,2;0,16;74,2;0,6;4,87;18,6;83,1;4.7;0,48;1296.0%;10.5%;0;EVITAR
EZTC3;13,15;3,38;-1,87;0,15;51,7;-0,017;59,6;1,1;3,49;40,6;26,2;6.3;0,71;322.0%;11.3%;0;EVITAR
JSLG3;5,75;2,68;0,0;-2,04;50,3;0,065;92,5;1,53;4,37;53,3;53,4;-;1,41;3413.0%;-6.4%;0;EVITAR
EVEN3;5,73;5,91;0,88;1,78;53,8;-0,003;73,5;1,41;3,6;11,9;48,9;2.9;0,58;1599.0%;12.2%;0;EVITAR
ENJU3;0,79;0,0;1,28;4,16;47,2;0,003;51,9;1,2;5,44;16,4;35,4;-;0,55;2553.0%;-5.8%;0;EVITAR
B3SA3;15,42;4,26;4,47;2,76;56,1;0,141;119,4;1,01;3,15;34,1;29,9;16.8;4,23;574.0%;26.7%;-5;EVITAR
PETR4;39,65;1,12;3,66;-3,72;50,5;0,351;95,2;0,79;2,18;45,0;24,0;4.9;1,15;983.0%;25.6%;-5;EVITAR
USIM5;8,45;1,2;-3,65;-22,12;38,1;-0,034;34,4;0,95;4,59;116,7;44,1;-;0,51;-;-9.3%;-5;EVITAR
JHSF3;11,15;4,01;1,18;2,84;54,9;-0,003;77,3;0,99;3,62;144,3;27,7;3.5;1,05;744.0%;27.9%;-5;EVITAR
QUAL3;1,71;4,91;-5,0;8,78;48,6;-0,015;42,1;0,75;5,22;15,3;64,1;85.5;0,37;55.0%;0.9%;-5;EVITAR
MGLU3;5,22;7,41;17,3;0,0;54,8;0,155;102,9;1,39;5,51;29,5;119,2;29.0;0,36;50.0%;1.2%;-10;EVITAR
GGBR4;23,01;2,36;7,32;-3,64;60,4;0,186;88,6;1,07;2,66;50,1;7,1;27.7;0,86;296.0%;3.1%;-10;EVITAR
RENT3;41,1;4,31;-0,84;2,25;50,6;-0,001;60,6;1,08;3,39;32,0;28,2;19.9;1,71;521.0%;8.5%;-10;EVITAR
GOAU4;10,21;3,13;7,7;-3,04;62,2;0,075;94,3;0,89;2,61;59,7;5,5;27.6;0,72;336.0%;3.1%;-10;EVITAR
ARML3;3,28;7,19;11,19;0,92;55,4;0,062;112,5;1,48;5,8;24,5;92,1;23.4;0,89;1883.0%;5.6%;-10;EVITAR
NATU3;8,68;2,6;3,58;1,4;52,2;0,123;83,3;1,08;4,85;21,7;28,5;-;0,96;-;-0.1%;-15;EVITAR
