ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao
ONCO3;0,75;-19,35;-38,52;-38,52;31,3;-0,045;-13,0;2,29;20,84;0,0;700,0;-;1,57;-;-205.9%;50;OBSERVAR
AZEV4;1,21;-4,72;-33,15;-49,58;29,2;-0,049;-0,1;1,96;22,46;0,8;1007,4;-;0,32;-;-145.3%;50;OBSERVAR
UGPA3;30,71;2,03;11,55;23,83;79,3;0,643;106,0;1,61;2,84;110,1;1,0;10.8;1,99;581.0%;19.2%;45;OBSERVAR
CEAB3;10,68;3,49;-2,82;-2,55;49,7;0,018;63,0;0,75;4,6;13,1;70,0;5.7;0,87;876.0%;16.8%;45;OBSERVAR
MILS3;15,44;-0,06;0,13;1,58;62,3;-0,069;63,7;2,31;1,25;63,5;1,4;8.6;1,98;777.0%;26.3%;45;OBSERVAR
PSSA3;54,97;3,04;1,44;9,93;66,2;0,037;98,6;1,23;2,28;28,1;0,4;9.7;2,27;384.0%;25.2%;45;OBSERVAR
LAVV3;11,34;5,78;-2,24;2,16;51,0;0,008;64,8;3,21;3,75;14,5;67,4;5.6;1,62;955.0%;26.6%;45;OBSERVAR
CYRE3;23,06;4,01;-1,45;7,96;55,3;0,021;74,0;1,14;3,85;16,7;56,2;5.1;0,95;1647.0%;21.1%;40;OBSERVAR
AUAU3;3,19;1,92;-1,85;-3,04;47,8;0,001;49,7;1,72;3,25;14,1;26,4;-;0,88;95.0%;6.5%;40;OBSERVAR
GFSA3;0,63;-1,56;-37,0;-38,83;25,4;-0,057;7,6;0,84;18,31;3,3;3073,0;-;0,01;-;-34.7%;40;OBSERVAR
MDIA3;17,97;2,74;0,96;-3,99;46,1;0,138;77,9;2,0;2,27;5,5;61,5;8.7;0,72;200.0%;8.5%;40;OBSERVAR
ITUB4;44,3;4,02;3,65;10,14;72,2;0,183;107,1;1,22;2,11;45,9;10,0;10.8;2,33;201.0%;21.8%;35;NEUTRO
ITSA4;14,17;4,27;4,19;11,02;71,7;0,071;112,1;0,65;2,1;58,8;6,2;9.3;1,76;68.0%;18.4%;35;NEUTRO
CVCB3;1,25;0,0;-4,58;-10,07;34,3;0,008;26,5;1,07;5,99;4,2;123,2;-;1,62;-;-23.0%;35;NEUTRO
SAUD3;15,45;1,78;5,68;18,14;77,0;0,162;93,2;1,07;2,54;49,5;6,7;14.9;5,88;377.0%;40.4%;35;NEUTRO
LJQQ3;1,26;4,13;-1,56;-1,56;44,2;0,002;34,7;1,53;5,91;7,7;127,8;-;0,76;-;-43.8%;35;NEUTRO
CURY3;34,21;4,62;-2,06;6,54;54,8;-0,24;57,4;0,9;3,86;38,2;20,0;9.6;6,82;1337.0%;73.7%;35;NEUTRO
VVEO3;0,59;0,0;-11,94;-53,91;24,9;-0,027;22,5;0,52;13,93;3,5;215,3;9.8;0,1;-;1.1%;35;NEUTRO
ITUB3;46,46;3,57;4,4;11,93;76,5;0,138;103,5;0,85;2,11;72,4;1,9;11.3;2,44;47.0%;21.8%;35;NEUTRO
FIQE3;5,9;1,72;2,61;-3,28;48,6;0,045;75,4;1,88;3,36;115,7;31,5;9.5;1,96;1464.0%;18.8%;35;NEUTRO
TEND3;35,36;2,52;-4,43;3,51;53,7;-0,33;50,5;0,64;4,47;83,9;7,3;7.2;3,19;349.0%;47.1%;35;NEUTRO
TUPY3;15,98;7,32;8,19;11,51;67,2;0,046;107,2;1,51;3,75;50,9;17,1;-;0,84;-;-26.1%;35;NEUTRO
RAIZ4;0,35;-5,41;-10,26;-18,6;35,3;-0,004;-8,9;1,11;8,22;6,1;354,3;-;-2,27;-;-548.1%;30;NEUTRO
CMIN3;5,23;8,28;21,35;21,63;77,4;0,108;133,3;1,53;3,84;28,2;21,9;12.8;4,01;1294.0%;25.7%;30;NEUTRO
AMBP3;0,16;-5,88;-5,88;-15,79;43,2;-0,001;16,9;2,39;10,93;14,3;12012,5;-;0,24;-;-1.3%;30;NEUTRO
VBBR3;33,0;2,8;8,62;15,03;72,7;0,462;109,8;1,36;2,55;88,8;2,0;12.8;1,81;486.0%;14.0%;30;NEUTRO
SMFT3;21,17;6,12;5,06;11,83;70,6;0,115;118,0;1,85;2,9;27,8;24,7;19.1;2,2;522.0%;12.1%;30;NEUTRO
ISAE4;30,0;2,28;8,5;9,77;66,4;0,211;120,4;0,88;2,31;52,8;6,8;8.4;0,92;879.0%;11.3%;30;NEUTRO
MLAS3;1,71;1,79;1,18;3,64;56,0;-0,003;74,3;1,22;4,99;113,6;8,8;7.8;0,45;295.0%;6.0%;30;NEUTRO
PASS3;25,5;3,32;2,95;0,83;54,7;0,12;100,5;0,99;3,13;6,8;11,2;14.7;3,18;514.0%;18.8%;30;NEUTRO
BMGB4;5,32;0,19;-1,12;4,93;53,3;-0,001;62,1;0,89;2,9;74,7;9,4;5.3;0,69;833.0%;13.5%;30;NEUTRO
BBDC4;18,86;4,78;5,29;8,12;71,6;0,122;127,5;1,51;2,19;34,5;12,7;9.0;1,11;126.0%;13.4%;25;NEUTRO
BEEF3;3,66;1,95;3,39;-3,17;51,1;0,016;65,5;1,18;3,77;7,3;99,9;7.8;2,87;347.0%;83.8%;25;NEUTRO
BHIA3;1,11;5,71;2,78;-11,9;39,6;0,025;48,9;2,7;6,27;12,1;393,7;-;0,41;-;-188.5%;25;NEUTRO
WEGE3;46,51;1,68;0,06;9,41;59,1;-0,039;67,2;1,09;2,32;37,7;16,7;31.0;11,2;90.0%;32.5%;25;NEUTRO
POMO4;5,81;2,11;-2,52;-0,85;47,6;-0,009;41,6;0,84;2,95;7,7;36,8;5.8;1,78;1795.0%;30.9%;25;NEUTRO
CSMG3;67,45;4,57;8,6;18,26;78,4;0,524;109,9;0,83;2,82;192,1;0,2;18.9;2,92;179.0%;15.9%;25;NEUTRO
BBSE3;40,35;2,72;4,4;6,55;71,9;-0,031;118,2;0,81;1,8;39,7;0,1;8.5;6,2;1292.0%;75.6%;25;NEUTRO
CXSE3;22,05;2,13;7,4;18,55;89,5;0,185;109,0;0,66;1,8;78,0;0,4;15.1;4,8;635.0%;31.6%;25;NEUTRO
PMAM3;0,23;0,0;0,0;-23,33;32,6;0,003;25,1;1,0;13,67;9,5;682,6;-;-0,0;-;-;25;NEUTRO
TAEE11;41,77;3,62;1,7;5,24;64,2;0,135;118,6;1,33;1,96;37,0;6,6;39.4;1,81;813.0%;20.6%;25;NEUTRO
PLPL3;8,15;0,99;-5,01;-4,79;43,7;0,042;37,7;0,66;5,33;8,4;113,3;4.9;1,55;1839.0%;38.0%;25;NEUTRO
GRND3;3,89;2,37;2,91;-1,52;52,8;0,012;75,1;0,54;2,14;14,1;27,8;5.6;1,11;2915.0%;17.9%;25;NEUTRO
JALL3;2,06;0,98;-4,19;-13,45;33,1;0,012;28,5;0,79;4,51;5,1;85,0;68.7;0,31;39.0%;0.5%;25;NEUTRO
ABEV3;15,82;0,64;-2,89;-4,49;43,1;-0,089;21,0;1,45;2,13;42,1;7,4;16.0;2,74;114.0%;17.3%;20;NEUTRO
CPLE3;15,53;3,19;3,12;6,3;63,4;0,041;105,6;0,97;2,07;57,9;8,6;17.1;1,94;684.0%;10.8%;20;NEUTRO
ENEV3;27,55;5,15;3,45;12,27;64,7;0,102;97,1;2,14;2,83;111,9;2,1;45.9;2,59;-;8.7%;20;NEUTRO
RADL3;18,77;3,53;10,71;8,24;62,5;0,291;120,3;1,55;3,32;49,8;44,5;24.1;4,47;234.0%;18.9%;20;NEUTRO
AXIA3;54,03;4,65;0,11;3,9;51,8;0,001;60,6;1,37;2,63;55,0;25,6;12.3;1,27;675.0%;7.9%;20;NEUTRO
SBSP3;31,11;3,7;2,44;12,96;67,2;0,223;96,8;0,95;2,52;55,5;13,5;12.2;2,5;456.0%;21.2%;20;NEUTRO
CMIG4;11,38;2,71;3,17;8,23;64,6;0,072;111,6;0,71;1,88;26,1;17,2;6.7;1,13;1126.0%;17.0%;20;NEUTRO
MOTV3;15,15;3,27;2,16;8,6;63,4;0,095;100,6;1,06;2,35;29,0;17,1;10.3;1,86;137.0%;20.4%;20;NEUTRO
TIMS3;22,78;2,2;-0,09;1,97;55,1;0,095;80,1;1,32;2,36;24,2;24,4;12.7;2,23;712.0%;17.7%;20;NEUTRO
BRAV3;18,94;0,32;5,75;-9,9;46,7;0,01;47,6;1,38;3,51;43,4;16,9;38.7;0,77;65.0%;2.1%;20;NEUTRO
ANIM3;2,87;7,09;4,36;-6,51;50,8;0,039;75,7;0,78;5,04;14,3;84,3;8.0;0,45;271.0%;8.7%;20;NEUTRO
ECOR3;7,77;5,0;2,78;6,88;58,2;0,07;99,7;1,09;3,93;29,4;53,6;7.3;1,32;389.0%;17.3%;20;NEUTRO
SANB11;27,62;5,22;2,49;1,81;58,3;0,076;103,4;1,41;2,26;14,7;34,6;13.5;0,82;642.0%;10.5%;20;NEUTRO
MULT3;30,29;4,52;3,2;7,55;62,7;0,154;108,6;1,4;2,38;27,4;16,5;12.3;2,29;377.0%;20.0%;20;NEUTRO
BRAP4;21,7;2,26;-3,25;-3,21;43,1;-0,081;23,0;2,09;2,52;57,8;18,1;11.6;1,09;1643.0%;9.5%;20;NEUTRO
VIVA3;23,53;4,21;3,34;10,31;60,2;0,138;86,5;1,1;3,3;17,4;52,5;9.4;1,83;601.0%;20.7%;20;NEUTRO
PGMN3;3,75;2,46;0,54;-4,09;42,8;0,043;56,4;0,61;4,01;20,9;103,2;7.7;0,81;1386.0%;10.1%;20;NEUTRO
AXIA7;52,85;4,57;0,08;4,94;52,8;-0,018;61,9;1,54;2,62;12,0;23,5;-;1,24;-;7.9%;20;NEUTRO
LWSA3;4,04;2,28;-2,88;6,32;55,6;-0,005;68,1;0,61;4,03;23,2;18,9;-;0,95;645.0%;-8.6%;20;NEUTRO
SBFG3;10,25;4,91;-0,49;-2,75;48,9;-0,008;56,8;0,83;3,96;8,5;49,1;7.1;0,72;530.0%;11.2%;20;NEUTRO
GGPS3;12,82;3,55;3,47;10,04;59,9;0,183;99,8;0,58;3,34;15,3;53,3;13.6;2,34;431.0%;17.1%;20;NEUTRO
RECV3;10,22;2,1;6,02;-6,5;48,4;0,1;80,8;0,67;3,09;11,4;39,3;5.6;0,71;1363.0%;12.3%;20;NEUTRO
MYPK3;9,32;3,21;3,44;1,86;56,4;0,016;87,2;1,68;2,8;8,5;53,1;15.3;0,34;986.0%;4.7%;20;NEUTRO
RIAA3;9,15;5,66;3,04;5,0;58,2;0,006;87,0;1,0;3,51;75,1;18,4;3.0;0,86;3894.0%;28.2%;20;NEUTRO
BBAS3;20,58;2,9;3,0;5,76;59,4;0,103;108,9;1,29;2,15;16,2;33,8;9.3;0,63;116.0%;9.2%;15;EVITAR
VALE3;74,18;1,41;-5,91;-6,3;35,2;-0,462;9,0;1,2;2,52;54,3;23,5;21.7;1,65;943.0%;6.8%;15;EVITAR
ASAI3;8,87;4,85;0,91;9,51;58,0;0,044;78,7;1,39;3,81;28,4;19,7;24.0;2,02;134.0%;12.4%;15;EVITAR
DIRR3;13,28;4,65;-7,0;-1,19;47,3;-0,125;30,1;1,4;4,01;16,9;30,0;8.4;3,24;2080.0%;42.9%;15;EVITAR
SUZB3;41,55;1,27;1,84;0,07;50,5;0,102;51,7;1,3;2,27;6,1;43,5;4.5;1,07;270.0%;26.3%;15;EVITAR
MBRF3;15,55;0,91;-7,33;-2,75;41,2;-0,135;29,1;1,15;4,52;6,6;77,9;47.1;1,91;3663.0%;1.8%;15;EVITAR
KLBN11;17,54;0,8;2,57;3,91;63,5;0,07;115,2;1,1;1,78;9,4;21,2;26.5;2,38;933.0%;5.5%;15;EVITAR
BRKM5;6,63;4,25;6,25;-27,14;38,0;0,075;40,3;0,54;8,94;13,7;107,8;-;-0,34;-;-;15;EVITAR
SEQL3;0,07;0,0;16,67;0,0;41,4;0,001;31,4;4,81;20,19;16,7;23472,1;-;-1,71;-;-;15;EVITAR
AURE3;13,03;8,22;8,49;10,52;67,6;0,169;128,3;1,61;3,03;48,4;12,5;-;1,14;41.0%;-8.8%;15;EVITAR
LIGT3;3,16;7,85;-0,32;20,61;52,6;0,024;66,0;0,92;7,43;31,1;140,5;0.8;0,14;-;37.5%;15;EVITAR
FLRY3;16,42;4,25;4,45;8,17;67,0;0,106;113,2;1,34;2,28;42,4;10,2;14.2;1,72;1199.0%;11.7%;15;EVITAR
MDNE3;27,02;6,25;-10,08;-1,24;44,7;-0,3;31,4;1,57;4,78;60,2;26,9;4.8;1,32;1861.0%;27.2%;15;EVITAR
CASH3;4,71;0,21;14,6;19,85;66,4;0,084;97,3;1,36;5,07;46,7;67,1;-;1,18;-;-17.5%;15;EVITAR
