ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao
PETR4;37,83;0,08;-1,2;-9,0;28,7;0,006;19,9;0,53;2,27;38,4;29,9;4.7;1,1;1030.0%;25.6%;60;FORTE OPORTUNIDADE
SLCE3;12,65;-1,94;-5,39;-17,27;14,7;-0,015;6,9;1,77;2,92;0,6;54,0;19.4;1,18;1020.0%;5.3%;55;OBSERVAR
PETR3;41,57;-0,5;-2,87;-10,54;26,3;-0,081;13,5;0,82;2,56;42,1;31,4;5.2;1,22;938.0%;25.6%;50;OBSERVAR
RECV3;9,85;-1,3;-1,4;-11,26;30,8;0,032;21,2;1,17;3,17;7,4;44,6;5.3;0,67;1385.0%;12.3%;40;OBSERVAR
PRIO3;52,4;0,48;-3,14;-15,46;23,8;-0,411;14,8;0,6;3,21;53,3;39,3;15.9;1,59;-;9.7%;30;NEUTRO
SANB11;26,66;-0,52;1,06;-2,56;42,9;0,049;34,9;0,95;2,1;10,7;39,5;13.1;0,79;665.0%;10.5%;30;NEUTRO
AGRO3;18,16;-0,33;1,11;-4,07;40,0;0,006;29,3;0,78;1,68;1,7;25,3;-;0,89;415.0%;-0.7%;30;NEUTRO
MGLU3;4,43;-5,34;1,61;-22,01;30,2;0,067;22,0;0,9;6,78;9,9;158,3;23.7;0,29;59.0%;1.2%;30;NEUTRO
COGN3;2,29;1,78;0,44;-8,03;38,9;0,01;29,0;1,06;3,96;5,3;106,4;6.8;0,34;828.0%;4.7%;30;NEUTRO
BBAS3;19,73;-0,9;0,0;-0,8;44,3;0,142;61,1;0,82;2,27;11,4;39,6;9.0;0,61;121.0%;9.2%;20;NEUTRO
SMTO3;15,93;1,46;8,22;-8,97;49,4;0,087;53,9;1,02;3,66;23,4;36,2;6.2;0,68;136.0%;11.9%;20;NEUTRO
LWSA3;4,12;3,78;7,01;9,87;61,6;0,042;97,6;0,66;4,18;25,6;16,6;-;0,97;618.0%;-8.6%;20;NEUTRO
BBDC4;18,1;0,11;2,66;2,08;55,8;0,109;93,6;1,84;2,33;26,6;19,7;8.6;1,07;126.0%;13.4%;15;EVITAR
ITUB4;42,44;0,66;3,63;8,29;65,9;0,33;89,0;0,88;2,2;39,7;14,8;10.3;2,23;210.0%;21.8%;10;EVITAR
VALE3;77,97;0,12;0,31;-8,27;41,4;-0,117;25,9;0,85;2,38;62,2;17,5;22.9;1,74;884.0%;6.8%;10;EVITAR
MELI34;75,2;2,8;4,04;8,17;62,3;0,65;114,5;1,5;3,48;22,6;52,8;46.6;12,72;-;31.3%;10;EVITAR
CSAN3;3,7;0,0;0,0;-4,64;45,2;0,079;75,3;1,03;4,94;15,6;117,0;-;4,17;-;-29.9%;-5;EVITAR
