ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao
SLCE3;12,81;1,51;-2,73;-13,5;21,4;0,009;19,6;0,52;2,85;1,8;52,1;19.7;1,2;1008.0%;5.3%;65;FORTE OPORTUNIDADE
RECV3;9,64;0,31;-3,79;-10,58;28,5;0,015;16,1;0,73;3,13;5,1;47,7;5.3;0,67;1416.0%;12.3%;55;OBSERVAR
PETR3;42,39;0,69;0,33;-7,26;34,7;0,039;30,4;0,62;2,45;44,9;28,8;5.2;1,23;919.0%;25.6%;45;OBSERVAR
SANB11;26,95;0,67;2,28;0,82;48,6;0,077;60,4;0,28;2,0;11,9;38,0;13.2;0,8;658.0%;10.5%;30;NEUTRO
MGLU3;4,45;4,22;0,23;-18,2;33,8;0,068;29,1;0,7;6,64;10,4;157,2;24.7;0,31;58.0%;1.2%;30;NEUTRO
COGN3;2,31;0,43;0,43;-4,15;41,6;0,014;43,2;0,51;3,77;6,3;104,6;6.8;0,34;821.0%;4.7%;30;NEUTRO
PETR4;38,25;0,76;0,5;-6,46;34,1;0,086;32,1;0,28;2,15;39,9;28,5;4.7;1,11;1019.0%;25.6%;25;NEUTRO
ITUB4;42,74;0,64;1,23;11,11;67,9;0,283;87,4;0,36;2,08;40,7;14,0;10.4;2,25;209.0%;21.8%;25;NEUTRO
BBAS3;19,98;-0,1;-1,77;4,23;49,0;0,122;73,5;0,45;2,15;12,9;37,9;9.0;0,61;119.0%;9.2%;20;NEUTRO
VALE3;78,84;0,77;0,88;0,18;45,8;0,0;45,3;0,45;2,26;64,0;16,2;23.1;1,76;875.0%;6.8%;20;NEUTRO
AGRO3;18,4;0,38;1,27;-1,55;47,4;0,039;49,7;0,23;1,64;3,0;23,6;-;0,9;409.0%;-0.7%;20;NEUTRO
SMTO3;15,52;-0,58;3,19;-8,06;44,0;0,112;46,2;0,3;3,59;20,2;39,8;6.1;0,68;140.0%;11.9%;20;NEUTRO
BBDC4;18,26;0,55;2,0;4,63;58,9;0,109;94,8;0,4;2,22;27,7;18,7;8.7;1,07;125.0%;13.4%;15;EVITAR
LWSA3;4,16;0,24;0,24;13,97;62,9;0,042;91,6;0,32;3,92;26,8;15,5;-;0,97;612.0%;-8.6%;10;EVITAR
PRIO3;52,96;0,74;-0,62;-13,35;27,7;-0,187;24,4;0,83;3,01;54,9;37,8;16.0;1,61;-;9.7%;5;EVITAR
MELI34;76,23;-0,18;6,32;11,53;64,1;0,822;100,8;0,22;3,21;24,3;50,0;46.5;12,7;-;31.3%;0;EVITAR
CSAN3;3,78;1,61;0,53;5,29;49,7;0,073;82,5;0,37;4,69;18,1;112,4;-;4,24;-;-29.9%;-15;EVITAR
