ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao
RECV3;9,6;-0,1;-4,19;-10,95;27,3;0,013;14,0;0,44;3,14;4,6;48,3;5.3;0,67;1420.0%;12.3%;55;OBSERVAR
PETR3;42,32;0,52;0,17;-7,42;34,0;0,034;29,4;0,47;2,45;44,7;29,0;5.2;1,23;926.0%;25.6%;45;OBSERVAR
SLCE3;12,93;2,46;-1,82;-12,69;25,3;0,017;23,5;0,24;2,8;2,8;50,7;19.9;1,21;1023.0%;5.3%;40;OBSERVAR
MGLU3;4,45;4,22;0,23;-18,2;33,8;0,068;29,1;0,53;6,64;10,4;157,2;24.7;0,31;61.0%;1.2%;30;NEUTRO
COGN3;2,33;1,3;1,3;-3,32;44,1;0,016;54,0;0,28;3,74;7,2;102,9;6.9;0,34;825.0%;4.7%;30;NEUTRO
PETR4;38,17;0,55;0,29;-6,65;33,1;0,081;30,8;0,17;2,15;39,6;28,8;4.7;1,11;1027.0%;25.6%;25;NEUTRO
ITUB4;42,73;0,61;1,2;11,08;67,9;0,282;87,2;0,13;2,08;40,7;14,0;10.4;2,25;210.0%;21.8%;25;NEUTRO
BBAS3;20,06;0,3;-1,38;4,64;50,5;0,127;78,3;0,25;2,14;13,3;37,3;9.0;0,62;119.0%;9.2%;25;NEUTRO
SANB11;27,03;0,97;2,58;1,12;50,1;0,082;67,3;0,16;2,0;12,2;37,6;13.2;0,8;662.0%;10.5%;20;NEUTRO
AGRO3;18,47;0,76;1,65;-1,18;49,4;0,044;55,0;0,1;1,63;3,4;23,2;-;0,9;411.0%;-0.7%;20;NEUTRO
SMTO3;15,61;0,0;3,79;-7,52;45,2;0,118;49,0;0,13;3,56;20,9;39,0;6.2;0,68;139.0%;11.9%;20;NEUTRO
PRIO3;52,62;0,1;-1,26;-13,91;25,4;-0,208;22,3;0,65;3,01;53,9;38,7;15.9;1,6;-;9.7%;15;EVITAR
BBDC4;18,34;0,99;2,45;5,09;60,4;0,114;99,9;0,21;2,21;28,3;18,2;8.7;1,08;125.0%;13.4%;15;EVITAR
LWSA3;4,18;0,72;0,72;14,52;63,6;0,043;93,9;0,15;3,9;27,4;14,9;-;0,98;614.0%;-8.6%;10;EVITAR
VALE3;78,55;0,4;0,51;-0,19;44,4;-0,018;39,5;0,25;2,23;63,4;16,6;23.0;1,75;881.0%;6.8%;0;EVITAR
MELI34;75,98;-0,51;5,97;11,16;63,2;0,806;99,1;0,11;3,21;23,8;50,5;46.6;12,66;-;31.3%;0;EVITAR
CSAN3;3,78;1,61;0,53;5,29;49,7;0,073;82,5;0,2;4,63;18,1;112,4;-;4,24;-;-29.9%;-15;EVITAR
