ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao
COGN3;2,25;-1,75;-1,75;-8,91;33,5;0,008;11,4;1,04;3,86;3,5;110,1;6.7;0,34;843.0%;4.7%;55;OBSERVAR
PETR3;41,78;-1,25;-5,0;-10,42;27,2;-0,082;12,4;1,42;2,65;42,9;30,7;5.1;1,2;933.0%;25.6%;50;OBSERVAR
RECV3;9,98;-0,8;-1,29;-11,05;32,8;0,032;26,7;0,86;3,19;8,8;42,7;5.4;0,69;1367.0%;12.3%;50;OBSERVAR
SLCE3;12,9;-0,85;-4,16;-15,19;16,3;-0,008;11,7;1,1;2,82;1,9;51,0;19.5;1,18;1001.0%;5.3%;45;OBSERVAR
PETR4;37,8;-0,89;-3,89;-9,29;28,3;-0,011;16,3;0,8;2,36;38,3;30,0;4.7;1,1;1031.0%;25.6%;40;OBSERVAR
PRIO3;52,15;-1,88;-7,04;-16,99;22,2;-0,48;8,9;0,83;3,3;52,6;39,9;15.9;1,59;-;9.7%;30;NEUTRO
SANB11;26,8;-0,07;0,19;-1,51;45,0;0,045;45,0;0,71;2,1;11,3;38,8;13.0;0,79;661.0%;10.5%;30;NEUTRO
SMTO3;15,7;2,28;6,3;-8,83;46,0;0,025;45,7;0,93;3,61;21,6;38,2;6.3;0,7;138.0%;11.9%;30;NEUTRO
BBAS3;19,91;-1,73;0,25;-0,14;47,2;0,175;72,6;0,84;2,26;12,5;38,3;8.9;0,61;120.0%;9.2%;20;NEUTRO
LWSA3;3,97;-3,41;5,59;3,12;56,4;0,039;79,6;0,93;4,23;21,0;21,0;-;0,96;642.0%;-8.6%;20;NEUTRO
MGLU3;4,68;0,86;5,88;-19,59;34,0;0,066;34,6;0,77;6,49;16,1;144,5;24.6;0,3;56.0%;1.2%;20;NEUTRO
BBDC4;18,1;-0,39;1,46;3,54;55,5;0,11;97,2;0,88;2,35;26,5;19,9;8.6;1,07;126.0%;13.4%;15;EVITAR
ITUB4;42,16;-0,54;2,75;8,13;64,1;0,347;88,7;1,35;2,14;38,8;15,6;10.3;2,23;212.0%;21.8%;10;EVITAR
VALE3;77,88;-0,32;-1,89;-4,68;41,0;-0,133;26,1;0,62;2,38;62,0;17,6;22.8;1,74;885.0%;6.8%;10;EVITAR
AGRO3;18,22;-0,11;1,22;-4,71;41,3;-0,002;31,6;1,21;1,7;2,0;24,9;-;0,89;413.0%;-0.7%;10;EVITAR
MELI34;73,15;1,19;7,57;1,54;58,0;0,492;102,5;0,68;3,5;19,2;63,8;45.9;12,61;-;31.3%;0;EVITAR
CSAN3;3,7;-0,27;-1,33;-4,64;45,2;0,085;72,2;0,53;4,94;15,6;117,0;-;4,15;-;-29.9%;-5;EVITAR
