ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
GOAU4;10,2;0,79;6,25;-0,97;61,0;0,098;98,1;0,32;2,5;59,5;5,6;27.6;0,71;-;3.1%;15;EVITAR;alta;False;1940000
EMBJ3;82,83;-0,22;-2,92;8,99;56,3;-0,104;61,2;0,34;3,12;28,8;26,9;37.5;3,43;-;8.8%;15;EVITAR;alta;False;1475600
YDUQ3;8,86;-0,23;5,98;1,37;49,8;0,064;66,6;0,48;4,17;12,9;72,6;20.1;0,77;-;3.8%;15;EVITAR;alta;False;1458500
LWSA3;3,99;-1,97;1,79;5,28;52,9;-0,005;57,1;0,47;3,9;21,6;20,4;-;0,93;-;-8.6%;15;EVITAR;alta;False;1419400
AUAU3;3,17;0,32;0,63;0,63;46,3;0,002;38,1;0,59;3,19;13,4;27,2;-;0,88;-;6.5%;15;EVITAR;alta;False;1113900
ECOR3;7,72;0,78;4,04;9,04;56,7;0,075;86,1;0,26;3,7;28,6;54,6;7.2;1,31;-;17.3%;15;EVITAR;alta;False;1010800
MULT3;29,81;0,2;4,16;7,21;57,1;0,166;83,4;0,35;2,36;25,3;18,3;12.1;2,26;-;20.0%;15;EVITAR;baixa;True;898600
LIGT3;3,17;1,28;10,45;26,8;52,9;0,028;63,5;0,22;6,89;31,5;139,7;1.7;0,14;-;37.5%;15;EVITAR;baixa;True;654500
HYPE3;20,9;0,63;1,06;3,21;50,4;0,076;67,7;0,17;2,61;6,4;29,2;8.0;0,94;-;13.0%;15;EVITAR;baixa;True;408900
OPCT3;11,21;0,36;6,26;9,05;65,6;0,102;96,4;0,59;3,0;90,8;2,2;18.4;2,23;-;12.5%;15;EVITAR;baixa;True;391800
PMAM3;0,24;0,0;4,35;-22,58;36,7;0,005;35,9;0,12;12,15;14,3;650,0;-;-0,0;-;-;15;EVITAR;baixa;True;369300
ABCB4;23,9;0,46;-0,38;3,07;51,9;0,037;58,5;0,52;2,19;32,0;14,3;4.4;0,81;-;15.0%;15;EVITAR;baixa;True;318300
TUPY3;15,79;0,32;10,11;16,96;64,3;0,089;90,0;0,36;3,62;49,1;12,6;-;0,83;-;-26.1%;15;EVITAR;baixa;True;276000
AXIA7;50,86;-0,27;-2,31;-1,59;43,8;-0,142;22,6;0,21;2,76;7,8;28,3;-;1,19;-;7.9%;15;EVITAR;baixa;True;256100
TTEN3;15,34;-0,71;3,23;5,07;54,0;0,1;72,8;0,24;2,94;19,0;16,7;11.0;1,61;-;15.7%;15;EVITAR;baixa;True;222800
ONCO3;0,85;11,84;-23,42;-19,81;37,0;-0,046;12,9;0,98;18,59;34,9;605,9;-;1,78;-;-205.9%;10;EVITAR;alta;False;11455200
BBAS3;20,49;1,24;3,85;5,62;56,9;0,116;93,5;0,5;2,15;15,7;34,4;9.2;0,63;-;9.2%;10;EVITAR;alta;False;8937300
VALE3;74,12;1,74;-2,73;-8,99;37,8;-0,39;18,1;0,42;2,5;54,2;23,6;21.7;1,65;-;6.8%;10;EVITAR;alta;False;7291000
ENEV3;26,74;-0,52;4,17;9,41;56,9;0,089;71,2;0,49;2,9;105,7;5,2;44.6;2,51;-;8.7%;10;EVITAR;alta;False;3642800
BEEF3;3,71;0,27;6,92;-0,8;53,8;0,03;83,7;0,27;3,66;8,8;97,2;7.9;2,91;-;83.8%;10;EVITAR;alta;False;2879500
CSMG3;65,98;-0,44;4,73;18,18;70,5;0,453;87,9;0,44;2,76;185,7;2,8;18.5;2,85;-;15.9%;10;EVITAR;alta;False;2132600
TOTS3;28,97;-0,86;1,05;1,22;47,1;0,227;62,9;0,56;3,74;8,1;64,6;19.7;3,38;-;16.9%;10;EVITAR;alta;False;2102500
CXSE3;22,03;1,19;5,46;17,62;83,1;0,165;95,9;0,24;1,86;77,9;0,5;15.1;4,8;-;31.6%;10;EVITAR;alta;False;1518600
JALL3;2,12;3,92;7,07;-10,92;40,6;0,022;48,6;0,44;4,34;8,2;79,7;70.7;0,32;-;0.5%;10;EVITAR;baixa;True;715600
FIQE3;5,86;0,0;0,0;-0,68;46,9;0,042;71,5;0,85;3,18;114,2;32,4;9.5;1,95;-;18.8%;10;EVITAR;baixa;True;705400
INTB3;13,06;0,85;1,63;3,16;45,7;-0,007;39,2;0,44;3,08;29,2;22,3;7.4;1,36;-;18.8%;10;EVITAR;baixa;True;675800
TAEE11;41,2;-0,36;1,98;4,57;58,6;0,142;85,5;0,45;1,99;35,1;8,0;39.2;1,78;-;20.6%;10;EVITAR;baixa;True;651700
ALPA4;12,08;0,25;2,81;-7,57;46,9;-0,031;38,4;0,42;3,46;70,5;34,3;14.0;2,37;-;16.5%;10;EVITAR;baixa;True;476800
VULC3;14,17;-1,32;2,53;-3,87;45,0;0,064;43,3;0,4;2,54;4,7;42,8;3.6;1,83;-;48.4%;10;EVITAR;baixa;True;436200
AZTE3;1,33;-5,67;-11,33;-21,76;37,3;-0,007;16,1;1,15;17,27;26,7;471,4;-;0,18;-;-3.9%;10;EVITAR;baixa;True;433200
SOJA3;6,1;1,16;3,57;-0,65;49,6;0,033;72,8;0,71;3,35;6,5;71,4;76.2;0,64;-;6.0%;10;EVITAR;baixa;True;388200
ALUP11;33,85;0,42;3,52;5,95;61,1;0,205;93,3;0,45;2,0;21,4;8,9;8.1;1,2;-;12.7%;10;EVITAR;baixa;True;329600
SHUL4;4,6;-1,08;2,0;-2,58;41,7;-0,002;26,1;0,82;2,18;16,1;21,0;6.0;1,07;-;18.2%;10;EVITAR;baixa;True;329100
OIBR3;0,12;0,0;0,0;0,0;50,0;0,002;62,2;0,46;3,55;200,0;450,0;-;-0,0;-;-;10;EVITAR;baixa;True;284700
