ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao
COGN3;2,21;-1,78;-1,78;-7,53;33,2;0,008;-0,6;1,1;3,87;1,7;113,9;6.4;0,32;858.0%;4.7%;55;OBSERVAR
SANB11;26,01;-2,62;-2,95;-4,27;35,1;0,022;-10,9;1,48;2,12;8,0;43,0;12.5;0,76;681.0%;10.5%;45;OBSERVAR
RECV3;9,6;1,37;-3,81;-10,61;30,8;0,012;20,7;0,81;3,04;4,6;48,3;5.6;0,71;1422.0%;12.3%;40;OBSERVAR
ITUB4;42,43;-0,31;0,64;9,21;63,6;0,19;77,2;0,79;2,06;39,7;14,8;10.2;2,2;210.0%;21.8%;35;NEUTRO
SLCE3;13,16;2,81;2,02;-9,62;33,2;0,07;37,5;1,38;2,84;4,6;48,0;20.3;1,23;981.0%;5.3%;30;NEUTRO
MGLU3;4,42;1,61;-5,56;-19,49;34,5;0,075;31,3;0,78;6,18;9,7;158,9;25.1;0,31;59.0%;1.2%;30;NEUTRO
PETR3;42,96;2,65;2,82;-6,85;42,0;0,151;43,8;0,98;2,45;46,9;27,1;5.4;1,28;907.0%;25.6%;25;NEUTRO
VALE3;76,2;-2,04;-2,16;-2,93;36,4;-0,11;-0,8;0,99;2,32;58,5;20,2;21.3;1,62;905.0%;6.8%;25;NEUTRO
BBAS3;19,73;-0,2;-0,9;3,24;44,6;0,077;52,5;0,89;2,14;11,4;39,6;8.8;0,6;121.0%;9.2%;20;NEUTRO
AGRO3;18,47;0,16;1,37;-1,6;49,6;0,061;57,7;0,7;1,63;3,4;23,2;-;0,91;408.0%;-0.7%;20;NEUTRO
SMTO3;15,32;2,41;-1,04;-9,67;45,7;0,101;53,6;0,79;3,51;20,3;39,7;6.0;0,67;141.0%;11.9%;20;NEUTRO
LWSA3;3,92;-2,97;-1,26;2,35;50,7;0,013;53,7;0,92;4,23;19,5;22,5;-;0,9;650.0%;-8.6%;20;NEUTRO
PETR4;38,44;1,77;1,69;-6,63;39,1;0,147;40,5;1,11;2,14;40,6;27,9;4.9;1,15;1014.0%;25.6%;15;EVITAR
PRIO3;56,23;4,97;7,82;-9,01;46,5;0,257;52,5;1,42;2,92;64,5;29,8;17.1;1,71;-;9.7%;15;EVITAR
BBDC4;17,82;-0,56;0,46;4,33;56,1;0,089;79,8;0,73;2,18;27,1;19,3;8.4;1,04;128.0%;13.4%;15;EVITAR
MELI34;78,14;0,98;6,82;10,1;67,8;0,893;99,0;1,18;3,02;27,4;46,4;47.3;13,05;-;31.3%;15;EVITAR
CSAN3;3,84;0,0;3,78;12,94;52,8;0,072;82,5;0,29;4,5;20,0;109,1;-;4,2;-;-29.9%;-10;EVITAR
