ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
EGIE3;30,62;-5,11;-5,55;-8,46;34,4;-0,202;-12,2;4,9;3,23;14,6;26,8;13.6;2,57;-;20.2%;65;FORTE OPORTUNIDADE;alta;False;11959800
ANIM3;1,93;-32,75;-24,31;-34,8;25,7;-0,006;-47,4;8,45;10,14;0,5;174,0;5.4;0,31;-;8.7%;60;FORTE OPORTUNIDADE;alta;False;91168400
CAML3;4,41;-18,18;-8,88;-10,73;33,2;0,014;-20,0;7,0;5,42;9,7;65,6;14.7;0,5;-;4.6%;60;FORTE OPORTUNIDADE;alta;False;7572200
MTRE3;3,1;-0,96;-3,13;-5,49;34,7;-0,013;0,0;1,76;3,05;5,9;35,0;5.3;0,32;-;8.3%;60;FORTE OPORTUNIDADE;alta;False;1311300
MELK3;3,0;-5,36;-2,91;-7,98;34,8;-0,009;-23,1;3,04;2,75;2,9;33,6;5.1;0,56;-;13.4%;60;FORTE OPORTUNIDADE;alta;False;1169000
POMO4;5,43;-3,38;-2,34;-8,12;35,2;-0,028;-9,2;2,26;3,21;0,7;46,4;5.4;1,66;-;30.9%;55;OBSERVAR;alta;False;18219600
ISAE4;27,78;-5,03;-3,51;2,47;45,5;0,051;28,4;2,84;2,68;41,5;15,3;7.8;0,85;-;11.3%;55;OBSERVAR;alta;False;7998000
POMO3;5,0;-3,85;-2,72;-11,35;31,4;-0,029;-4,2;2,83;3,43;0,2;34,8;5.0;1,53;-;30.9%;55;OBSERVAR;alta;False;2883200
SHUL4;4,5;-1,96;-0,22;-5,09;35,9;-0,007;3,8;2,43;2,33;13,6;23,6;5.8;1,05;-;18.2%;55;OBSERVAR;alta;False;1088000
GFSA3;0,49;-12,5;-25,76;-62,6;21,2;-0,049;10,9;2,17;21,82;0,0;3836,7;-;0,01;-;-34.7%;50;OBSERVAR;alta;False;7908400
TEND3;33,04;-4,51;-0,54;0,3;42,8;-0,451;7,0;1,0;4,82;71,8;14,8;6.7;2,98;-;47.1%;50;OBSERVAR;alta;False;2434900
MEAL3;0,72;-7,69;-18,18;-25,0;9,5;-0,02;-13,2;2,39;3,57;0,0;104,2;-;0,24;-;-20.3%;50;OBSERVAR;baixa;True;915800
DIRR3;12,67;-2,46;0,72;-3,87;41,0;-0,135;8,1;0,77;4,17;11,5;36,2;8.0;3,1;-;42.9%;45;OBSERVAR;alta;False;6065100
MLAS3;1,71;-1,72;8,92;4,91;54,9;0,005;74,9;1,69;4,97;113,6;8,8;7.8;0,45;-;6.0%;45;OBSERVAR;alta;False;2018600
LEVE3;31,75;-0,94;-0,28;-2,91;39,0;-0,067;5,8;1,98;1,94;30,9;14,0;6.5;4,02;-;67.7%;45;OBSERVAR;baixa;True;429900
LOGG3;26,12;0,46;-1,62;-2,39;43,7;-0,283;9,5;0,7;2,84;76,9;9,9;5.7;0,61;-;11.0%;45;OBSERVAR;baixa;True;285900
ALLD3;4,51;-2,38;-1,96;-8,15;25,8;0,022;-1,1;0,69;3,13;0,0;82,6;1.3;0,28;-;21.8%;45;OBSERVAR;baixa;True;281600
ABEV3;15,57;-1,52;-0,32;-3,56;37,7;-0,069;11,0;1,27;2,17;39,8;9,1;15.7;2,69;-;17.3%;40;OBSERVAR;alta;False;31466500
AXIA3;50,42;-4,2;-4,96;-3,76;37,4;-0,221;-6,5;1,86;3,03;44,7;34,5;11.5;1,18;-;7.9%;40;OBSERVAR;alta;False;19203800
RAIZ4;0,29;-6,45;-23,68;-30,95;25,7;-0,009;-13,7;0,92;10,01;0,0;441,4;-;-0,34;-;-548.1%;40;OBSERVAR;alta;False;12899800
PGMN3;3,53;-2,75;-1,94;-9,25;36,5;0,026;0,3;0,79;4,37;12,7;115,9;7.2;0,76;-;10.1%;40;OBSERVAR;alta;False;3683300
EZTC3;12,26;-3,69;-1,13;-3,99;39,5;-0,052;-5,2;1,72;3,94;31,1;35,3;5.8;0,66;-;11.3%;40;OBSERVAR;alta;False;2604700
AXIA7;49,0;-4,45;-5,5;-3,54;37,5;-0,269;-7,1;1,82;3,06;3,9;33,2;-;1,15;-;7.9%;40;OBSERVAR;alta;False;2453300
CURY3;32,73;-2,56;4,47;2,67;47,6;-0,252;20,1;0,51;3,94;32,3;25,4;9.1;6,53;-;73.7%;40;OBSERVAR;alta;False;1912400
AZEV4;1,2;-6,25;-12,41;-40,0;30,8;-0,031;13,0;1,01;20,83;2,6;1016,7;-;0,32;-;-145.3%;40;OBSERVAR;alta;False;1484200
USIM3;7,37;-1,6;-2,38;-14,99;33,8;-0,008;13,4;2,21;4,54;84,2;48,6;-;0,44;-;-9.3%;40;OBSERVAR;baixa;True;921300
BLAU3;9,76;-5,15;-6,06;2,86;41,7;0,013;21,1;3,02;3,6;15,6;46,3;10.4;0,98;-;10.9%;40;OBSERVAR;baixa;True;528500
BMGB4;5,38;0,75;3,07;1,51;56,2;0,002;80,4;1,35;2,78;76,7;8,2;5.4;0,7;-;13.5%;35;NEUTRO;alta;False;1643100
VVEO3;0,58;-3,33;-4,92;-52,85;26,7;-0,006;28,7;0,36;12,95;3,6;220,7;9.7;0,1;-;1.1%;35;NEUTRO;alta;False;1539700
ITUB4;43,14;-1,12;2,98;6,73;59,7;0,107;72,3;0,84;2,11;42,0;12,9;10.5;2,27;-;21.8%;30;NEUTRO;alta;False;18975900
SBSP3;29,98;-1,19;2,5;9,18;55,2;0,114;64,9;0,69;2,48;49,8;17,8;11.8;2,41;-;21.2%;30;NEUTRO;alta;False;8790500
WEGE3;44,26;0,14;-2,4;1,28;43,5;-0,289;2,7;1,17;2,56;31,1;22,7;29.5;10,66;-;32.5%;30;NEUTRO;alta;False;7916900
BBSE3;40,71;0,79;5,06;3,59;73,4;0,07;104,0;0,79;1,66;41,0;0,0;8.6;6,25;-;75.6%;30;NEUTRO;alta;False;4772400
MOVI3;8,71;-1,25;2,23;-0,34;39,9;-0,015;17,9;1,06;4,45;63,0;71,9;8.3;0,96;-;12.9%;30;NEUTRO;alta;False;4224100
ITUB3;45,49;-0,57;2,62;6,77;64,9;0,064;76,4;1,27;2,06;68,8;4,1;11.0;2,39;-;21.8%;30;NEUTRO;alta;False;2355000
LJQQ3;1,18;-2,48;0,85;-8,53;38,7;0,001;14,3;0,58;6,16;1,7;143,2;-;0,71;-;-43.8%;30;NEUTRO;alta;False;1284800
PSSA3;55,22;1,71;5,18;8,16;64,9;0,085;102,9;0,93;2,23;28,7;0,4;9.7;2,28;-;25.2%;30;NEUTRO;alta;False;1278900
MILS3;15,5;0,06;0,98;1,91;63,6;-0,053;73,6;1,29;1,14;64,1;1,0;8.6;1,98;-;26.3%;30;NEUTRO;alta;False;1235800
TRIS3;4,04;-3,58;-6,7;2,02;42,5;0,003;18,5;1,07;4,46;4,9;89,1;4.0;0,64;-;13.2%;30;NEUTRO;baixa;True;428700
SANB3;13,18;-1,86;6,89;0,69;54,0;0,093;79,7;2,15;2,39;14,6;39,4;8.0;0,39;-;10.5%;30;NEUTRO;baixa;True;300100
AMAR3;0,59;-1,67;1,72;-7,81;40,9;0,003;17,8;2,02;5,86;5,4;137,3;-;2,35;-;-76.0%;30;NEUTRO;baixa;True;292600
WIZC3;8,38;-1,64;1,58;12,48;60,9;0,059;74,2;0,69;2,13;27,0;19,5;6.9;1,95;-;28.6%;30;NEUTRO;baixa;True;212300
GGBR4;24,2;3,77;9,3;6,09;69,2;0,316;118,0;1,54;2,7;57,8;1,9;29.2;0,9;-;3.1%;25;NEUTRO;alta;False;15383900
VBBR3;33,75;1,35;6,64;21,1;74,4;0,48;99,4;1,17;2,55;93,1;0,0;13.1;1,85;-;14.0%;25;NEUTRO;alta;False;9070800
PCAR3;2,62;6,94;-3,32;55,95;61,1;0,01;70,2;1,72;6,68;87,1;75,6;-;1,94;-;-109.7%;25;NEUTRO;alta;False;7730600
BEEF3;3,72;0,0;7,83;0,0;54,3;0,034;86,1;0,64;3,58;9,1;96,6;7.9;2,92;-;83.8%;25;NEUTRO;alta;False;6804500
TOTS3;29,92;4,18;3,39;7,12;53,1;0,241;84,7;1,59;3,71;11,6;59,4;20.4;3,49;-;16.9%;25;NEUTRO;alta;False;6128200
MULT3;29,74;0,41;4,31;7,53;56,3;0,147;79,6;2,14;2,34;25,0;18,6;12.0;2,25;-;20.0%;25;NEUTRO;alta;False;6048300
VIVA3;23,52;0,38;6,09;13,51;59,0;0,145;79,3;0,97;3,11;17,4;52,6;9.4;1,82;-;20.7%;25;NEUTRO;alta;False;2550100
FLRY3;16,51;0,61;7,14;12,39;65,5;0,127;98,1;0,95;2,26;41,8;9,6;14.2;1,73;-;11.7%;25;NEUTRO;alta;False;2025900
RIAA3;8,49;-4,5;0,35;-0,54;44,3;-0,014;19,2;1,09;3,86;62,4;27,6;2.8;0,8;-;28.2%;25;NEUTRO;alta;False;1109700
PASS3;25,11;-0,36;2,41;0,44;50,1;0,116;71,4;0,38;3,15;5,2;12,9;14.5;3,13;-;18.8%;25;NEUTRO;baixa;True;489600
FESA4;5,93;-0,67;2,42;-3,42;43,4;0,029;41,2;0,65;2,29;7,9;50,1;13.2;0,61;-;4.9%;25;NEUTRO;baixa;True;484500
CSED3;3,95;-5,73;2,07;13,51;49,8;0,061;64,4;1,19;4,16;16,5;78,1;5.3;0,87;-;16.9%;25;NEUTRO;baixa;True;352600
SANB4;13,85;-0,72;3,44;-1,35;47,7;0,029;46,2;1,78;2,27;9,6;36,2;8.4;0,41;-;10.5%;25;NEUTRO;baixa;True;299900
ROMI3;6,05;-0,98;0,0;-1,94;41,8;0,017;32,0;1,66;2,23;1,7;46,0;7.5;0,45;-;6.4%;25;NEUTRO;baixa;True;228200
ONCO3;0,89;-7,29;-16,04;-24,58;40,0;-0,033;18,9;2,05;18,67;41,3;574,2;-;1,87;-;-205.9%;20;NEUTRO;alta;False;26387300
