ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao
PETR3;45,38;2,69;8,43;3,75;57,4;0,507;113,0;0,43;2,46;55,2;20,3;5.6;1,31;882.0%;25.6%;5;EVITAR
GGBR4;23,11;0,43;5,82;-1,07;61,4;0,228;93,9;0,41;2,6;50,7;6,7;27.8;0,86;296.0%;3.1%;5;EVITAR
PRIO3;56,24;1,42;4,98;-1,51;47,5;0,626;68,9;0,43;2,82;64,5;29,8;17.0;1,71;-;9.7%;5;EVITAR
BPAC11;58,0;-1,24;4,73;13,99;65,3;0,564;95,5;0,36;2,67;56,5;12,9;94.5;3,75;251.0%;24.8%;5;EVITAR
MBRF3;15,92;2,38;-2,99;0,89;45,6;-0,114;39,3;0,59;4,49;9,1;73,7;48.2;1,95;3663.0%;1.8%;5;EVITAR
BRKM5;6,73;1,51;12,17;-27,79;39,7;0,119;45,8;0,36;8,54;15,4;104,8;-;-0,34;-;-;5;EVITAR
AMBP3;0,16;0,0;0,0;-11,11;43,2;-0,001;20,1;0,5;11,05;14,3;12012,5;-;0,24;-;-1.3%;5;EVITAR
GMAT3;4,0;0,76;9,29;1,27;54,8;0,05;91,5;0,29;3,8;16,6;95,5;5.1;0,84;628.0%;16.0%;5;EVITAR
RAIL3;14,12;-1,67;4,59;6,41;57,1;0,169;88,8;0,13;3,15;16,1;25,8;25.2;1,89;79.0%;7.3%;5;EVITAR
HAPV3;10,65;0,47;2,6;-6,74;49,0;0,077;72,3;0,32;4,56;52,1;300,6;-;0,11;-;-0.9%;5;EVITAR
AURE3;12,6;-3,3;2,94;6,96;59,4;0,17;96,5;0,46;3,2;43,5;16,3;-;1,11;41.0%;-8.8%;5;EVITAR
LREN3;14,47;-1,03;2,7;-3,97;50,4;-0,028;54,1;0,13;3,62;20,0;21,8;9.8;1,36;627.0%;14.5%;0;EVITAR
SLCE3;14,09;0,5;10,08;-0,21;54,4;0,241;92,4;0,4;2,71;12,0;38,3;21.7;1,32;936.0%;5.3%;0;EVITAR
EQTL3;40,39;-1,27;3,41;5,13;58,9;0,243;87,6;0,16;2,38;27,0;14,7;43.0;1,98;580.0%;6.9%;0;EVITAR
PETR4;40,59;2,37;7,47;3,92;57,1;0,432;116,3;0,67;2,19;48,5;21,1;5.0;1,17;983.0%;25.6%;-5;EVITAR
CSNA3;5,34;3,09;12,18;-12,32;52,0;0,096;72,1;0,7;4,93;18,9;112,0;-;0,55;-;-8.3%;-5;EVITAR
B3SA3;15,15;-1,75;3,91;1,56;52,0;0,153;92,7;0,23;3,13;31,7;32,2;16.5;4,16;574.0%;26.7%;-5;EVITAR
USIM5;8,46;0,12;-2,87;-21,67;38,4;-0,016;35,2;0,29;4,44;116,9;44,0;-;0,51;-;-9.3%;-5;EVITAR
MGLU3;5,14;-1,53;18,16;-3,93;52,9;0,17;101,2;0,48;5,45;27,5;122,7;28.6;0,35;50.0%;1.2%;-10;EVITAR
CSAN3;3,99;-1,97;3,91;22,02;57,9;0,069;88,4;0,17;4,24;24,7;101,3;-;4,47;-;-29.9%;-10;EVITAR
NATU3;8,69;0,12;4,57;2,48;52,3;0,128;82,4;0,08;4,63;21,9;28,3;-;0,96;-;-0.1%;-15;EVITAR
